country_code,pass_count,predicted_gdp_per_capita,actual_gdp_per_capita,relative_error_gdp_per_capita,pass_gdp_per_capita,predicted_inflation,actual_inflation,relative_error_inflation,pass_inflation,predicted_unemployment,actual_unemployment,relative_error_unemployment,pass_unemployment,predicted_debt_gdp,actual_debt_gdp,relative_error_debt_gdp,pass_debt_gdp,predicted_life_expectancy,actual_life_expectancy,relative_error_life_expectancy,pass_life_expectancy
GIN,1,275.33522588284603,1694.95375862193,0.8375559070669247,False,0.03357648890783322,0.0812313914948596,0.5866562385557809,False,0.2304703710807225,0.05132,3.4908490078083103,False,3.0,0.483,5.211180124223603,False,58.64730499269274,60.904,0.037053313531250236,True
GNB,1,568.7558650484343,1007.74151728028,0.43561334400173574,False,-0.037029535607909614,0.0376555825770114,1.9833743916238338,False,0.20623802131484176,0.026469999999999997,6.791387280500256,False,3.0,0.8240000000000001,2.6407766990291264,False,60.93976222921817,64.254,0.05158025602735762,True
GNQ,2,5622.4656168854435,6745.40013244916,0.16647411473216708,True,-0.022736014395933236,0.029214022730910297,1.778256887295329,False,0.22316730560211015,0.08292999999999999,1.6910322633800818,False,3.0,0.364,7.241758241758243,False,61.93650560101608,63.906,0.030818614824647435,True
GRC,1,5644.718682579605,24626.1481858973,0.7707835330166585,False,-0.04237609183230236,0.0274101875679477,2.5459978786082864,False,0.4,0.1002,2.9920159680638725,False,3.0,1.554,0.9305019305019304,False,76.73668115800919,81.8390243902439,0.062346090636473554,True
GTM,1,4060.3543900370696,6150.02571438505,0.3397825344795213,False,-0.023900587904016377,0.028699275291829397,1.832794126715137,False,0.16428933968895837,0.02613,5.287383838077244,False,1.6643804715083936,0.263,5.328442857446364,False,71.79836543786801,72.746,0.013026620874439569,True
GUY,1,4928.990861100521,29675.2443873316,0.833902265579834,False,-0.0350957265134709,0.0290395226446373,2.2085503933017296,False,0.27994444778837985,0.11874000000000001,1.3576254656255669,False,3.0,0.243,11.34567901234568,False,68.84844445389042,70.319,0.020912634510012653,True
HND,1,1791.8957682608668,3426.43483328923,0.47703783803157174,False,-0.016798992324987765,0.046062109812710694,1.3647030583986004,False,0.19792995472682487,0.049100000000000005,3.0311599740697526,False,3.0,0.415,6.228915662650603,False,68.53582660154524,73.044,0.061718599726942096,True
HRV,1,9787.704293309123,24050.4397933135,0.5930342905400716,False,-0.03850041097033009,0.0297200477643618,2.2954357030508237,False,0.22022531956094987,0.05,3.4045063912189977,False,3.0,0.574,4.226480836236934,False,78.67684206540152,78.9292682926829,0.0031981321091860545,True
HTI,1,911.6860452703219,2142.62330526788,0.5745000798652571,False,-0.016722327086470954,0.269490564091987,1.062051623747253,False,0.3294311090050364,0.14609,1.2549873982136794,False,2.4167241715777177,0.155,14.591768848888503,False,64.00707520438048,65.119,0.01707527443018958,True
HUN,1,15907.711522344222,23292.3263882478,0.3170406743754674,False,0.02676962063410787,0.037037037037036896,0.2772202428790847,False,0.07785332264925432,0.045,0.7300738366500961,False,1.8394049313215797,0.735,1.502591743294666,False,77.45507173320551,76.7243902439025,0.009523457755483154,True
IDN,1,2728.415591136662,4925.43048751861,0.44605540611106775,False,-0.013907946809283808,0.0218151273615189,1.6375368146516955,False,0.17989907783610007,0.033010000000000005,4.44983574177825,False,2.2297072190127807,0.402,4.5465353706785585,False,70.36343772642755,71.288,0.012969395600556169,True
IND,1,814.914455126528,2694.73780859961,0.6975904473801036,False,0.004058772907413782,0.04953035509736561,0.9180548393114659,False,0.280881604530313,0.04173,5.73092749892914,False,3.0,0.848,2.537735849056604,False,65.53941070506276,72.235,0.09269176015694934,True
IRL,1,87805.22696915583,112894.953240805,0.22223957361612762,False,-0.013084017180092592,0.021134499957731697,1.6190833568932408,False,0.1224167818399439,0.043,1.8469019032545093,False,2.356488726346151,0.38299999999999995,5.152712079232771,False,83.25903993085844,83.009756097561,0.0030030666877813483,True
IRN,1,948.0052320253781,5190.16959024821,0.8173460008307664,False,0.08147351254166238,0.32455871402916997,0.7489714217491634,False,0.27255323159743894,0.08146,2.345853567363601,False,3.0,0.312,8.615384615384617,False,67.2013783419297,77.854,0.13682818683780285,True
ISL,2,85823.9645928669,86040.5309851288,0.0025170276122462557,True,0.04179815111866256,0.0585683849970066,0.2863359452237101,False,0.04897,0.036000000000000004,0.3602777777777776,False,1.9191785159201755,0.604,2.1774478740400256,False,84.39851444105119,82.809756097561,0.019185642107415624,True
ISR,2,56941.37982352523,54176.6844383302,0.05103109232057396,True,-0.03765876274646986,0.030748088980502502,2.224751325857989,False,0.14833289882982265,0.03595,3.1260889799672498,False,3.0,0.677,3.4313146233382565,False,83.80596303013944,83.1975609756098,0.007312739068252171,True
ITA,1,23029.78897612841,40385.3413957669,0.4297488103309104,False,-0.03907542900798557,0.009823730230614171,4.977656968451037,False,0.22841398489176404,0.065,2.514061306027139,False,3.0,1.347,1.2271714922048997,False,84.2167493593769,83.9512195121951,0.003162906372589835,True
JOR,2,3698.9509001207484,4618.09592498567,0.19903116777890953,True,-0.02759272123272158,0.015565961128395301,2.772632027352757,False,0.3098800596326015,0.16693000000000002,0.8563473290157639,False,3.0,0.821,2.654080389768575,False,72.57068393408453,77.981,0.06937992672465687,True
JPN,2,27836.995254824848,32487.0778047567,0.1431363749573991,True,-0.045051492485219155,0.0273853681635241,2.645093548357894,False,0.15636673224557351,0.025,5.254669289822941,False,3.0,2.145,0.3986013986013986,False,85.22425901781442,84.0363414634146,0.014135760002319708,True
KEN,1,1129.8316951384277,2132.43452097647,0.4701681650599697,False,-0.0013291365841878316,0.0448978854243448,1.0296035452811578,False,0.24622954382547496,0.05487,3.487507633050391,False,3.0,0.6729999999999999,3.4576523031203568,False,63.33936751440725,63.834,0.00774873085804983,True
KGZ,1,815.4004150094911,2420.18542283831,0.6630834946302513,False,0.00015078004174999549,0.0499760701207323,0.996982955214651,False,0.19454900300960914,0.034910000000000004,4.572873188473478,False,3.0,0.36200000000000004,7.287292817679557,False,65.25724989206402,72.4,0.09865676944662957,True
KOR,1,52145.91298530677,36238.639908315,0.4389588880056678,False,-0.00763695189301889,0.0232174328643542,1.3289317961049831,False,0.059637013871355136,0.027839999999999997,1.1421341189423544,False,0.296387072780543,0.49700000000000005,0.4036477408842194,False,83.36633913203346,83.6292682926829,0.003143984947103019,True
LKA,2,3858.0849865500722,4515.56787322732,0.1456035885487285,True,-0.013566554479783702,-0.0042936004906973,2.1597151409819295,False,0.25082463705307767,0.04239,4.917070937793765,False,3.0,1.008,1.9761904761904763,False,72.79941761564015,77.672,0.06273280441291386,True
LSO,2,899.8435081888905,971.90771824829,0.07414717334407417,True,-0.02528437976121254,0.0610544624245032,1.4141282841115488,False,0.2370562561696907,0.1634,0.4507726815770546,False,3.0,0.528,4.681818181818182,False,53.57024441671488,57.798,0.07314709130567015,True
LUX,1,191709.73630473847,137781.681659123,0.3914022096132888,False,0.059078208504381814,0.020511326995485902,1.8802723742536815,False,0.04423,0.064,0.30890625000000005,False,0.048452484182560575,0.263,0.8157700221195415,False,84.1361255112313,83.1951219512195,0.011310802099232936,True
LVA,2,20691.026037032898,23409.0845154775,0.11611126768530787,True,0.03734222735302108,0.012657988582872901,1.950091723383887,False,0.10846,0.069,0.5718840579710144,False,0.3504618444996138,0.462,0.24142457900516492,False,76.30520835234553,76.4292682926829,0.0016231993725530944,True
MAR,1,2684.639119923694,4153.1943359375,0.35359655658451367,False,-0.040821151198973143,0.00985256592004507,5.14320000802252,False,0.2595726423992142,0.09103,1.8515065626630143,False,3.0,0.677,3.4313146233382565,False,70.73902134037017,75.493,0.06297244326798276,True
MDA,1,3557.690021163632,7576.19589413326,0.5304120866359089,False,-0.00870503966743663,0.046777351600705196,1.1860951800295039,False,0.12150774406394446,0.01427,7.514908483808301,False,2.346898701712834,0.38799999999999996,5.048707994105243,False,71.59312685889319,71.332,0.003660725325144285,True
MDG,1,210.6940477357319,544.987501003384,0.6133965506588311,False,-0.004092359486912618,0.0761335784313723,1.0537523596188443,False,0.19087180768988635,0.030510000000000002,5.256040894457107,False,3.0,0.498,5.024096385542168,False,61.812670143992804,63.835,0.03168058049670552,True
MDV,2,11690.465730087572,13379.3513577224,0.12623075532432476,True,-0.012594068023552217,0.013997977967492801,1.899706232771558,False,0.13191627889282978,0.04278,2.0835969820670823,False,2.331871460441046,1.3330000000000002,0.7493409305634253,False,79.65563947863548,81.285,0.020045033171735473,True
MEX,1,8817.78521080408,14185.7812248529,0.3784067954357222,False,-0.025675250679583927,0.047222558845293194,1.543707315050401,False,0.19962276019188402,0.026779999999999998,6.454173270794773,False,3.0,0.591,4.0761421319796955,False,75.68664628988593,75.264,0.005615517244445319,True
MKD,1,5825.1578495764215,9291.85661671864,0.3730899980639672,False,-0.03699930343681384,0.0348974086026954,2.060230685265154,False,0.3951091967350239,0.12265000000000001,2.2214365816145447,False,3.0,0.529,4.671077504725898,False,75.08731917155315,76.6165853658537,0.01995998891099246,True
MNG,4,8836.706986676132,6750.6301157724,0.3090195781916345,False,0.05512683669535165,0.061977990165842,0.11054171734446193,True,0.0594191489453483,0.05158,0.15198039832005228,True,0.3636535657758207,0.441,0.17538873973736804,True,72.50806548408296,72.3980487804878,0.0015196086834983204,True
